ID,seed
ISIC_0000002x1,141694645
ISIC_0000004x1,902781228
ISIC_0000013x1,1022155208
ISIC_0000002x2,621506256
ISIC_0000013x2,405678697
ISIC_0000004x2,107017171
ISIC_0000022x1,130287930
ISIC_0000026x1,442909333
ISIC_0000002x3,656180178
ISIC_0000013x3,361651290
ISIC_0000004x3,725481194
ISIC_0000022x2,443379526
ISIC_0000002x4,233666654
ISIC_0000013x4,158431491
ISIC_0000026x2,667156955
ISIC_0000004x4,1037381414
ISIC_0000026x3,224367314
ISIC_0000029x1,647074861
ISIC_0000030x1,378461477
ISIC_0000031x1,974539212
ISIC_0000022x3,696327287
ISIC_0000029x2,835536840
ISIC_0000030x2,811441020
ISIC_0000031x2,545682812
ISIC_0000026x4,275990630
ISIC_0000022x4,643847927
ISIC_0000029x3,1022398885
ISIC_0000031x3,815845144
ISIC_0000030x3,296246100
ISIC_0000035x1,649922025
ISIC_0000036x1,380368874
ISIC_0000029x4,286225404
ISIC_0000031x4,962079505
ISIC_0000030x4,668801362
ISIC_0000035x2,541704370
ISIC_0000036x2,469621555
ISIC_0000040x1,1015376552
ISIC_0000036x3,247186315
ISIC_0000043x1,894884906
ISIC_0000036x4,955422667
ISIC_0000046x1,442873754
ISIC_0000035x3,418941973
ISIC_0000035x4,589946358
ISIC_0000040x2,316074074
ISIC_0000049x1,562402897
ISIC_0000043x2,742802499
ISIC_0000040x3,831205080
ISIC_0000046x2,820820128
ISIC_0000049x2,975949892
ISIC_0000043x3,778364276
ISIC_0000054x1,550629344
ISIC_0000049x3,792641819
ISIC_0000043x4,976334334
ISIC_0000054x2,936234662
ISIC_0000049x4,1045731514
ISIC_0000040x4,802519929
ISIC_0000046x3,928688558
ISIC_0000054x3,1051273902
ISIC_0000054x4,151649354
ISIC_0000056x1,919188739
ISIC_0000046x4,20894970
ISIC_0000074x1,384872233
ISIC_0000077x1,1072017838
ISIC_0000078x1,924807985
ISIC_0000074x2,139070328
ISIC_0000056x2,143889423
ISIC_0000077x2,615872605
ISIC_0000078x2,988818016
ISIC_0000056x3,780309313
ISIC_0000074x3,205698160
ISIC_0000074x4,104152181
ISIC_0000077x3,800289481
ISIC_0000078x3,240138584
ISIC_0000056x4,591371587
ISIC_0000078x4,885927220
ISIC_0000077x4,590154062
ISIC_0000141x1,1035859604
ISIC_0000140x1,1004568979
ISIC_0000139x1,329325156
ISIC_0000142x1,311879595
ISIC_0000143x1,324219287
ISIC_0000139x2,792835043
ISIC_0000140x2,354279849
ISIC_0000143x2,803316434
ISIC_0000141x2,907420271
ISIC_0000142x2,994528871
ISIC_0000142x3,54894217
ISIC_0000141x3,773849019
ISIC_0000143x3,1065419883
ISIC_0000141x4,911706296
ISIC_0000142x4,836166524
ISIC_0000139x3,528155489
ISIC_0000140x3,151752659
ISIC_0000143x4,971842765
ISIC_0000145x1,934330269
ISIC_0000146x1,310436538
ISIC_0000145x2,877068679
ISIC_0000140x4,886492092
ISIC_0000145x3,443763903
ISIC_0000146x2,1023967217
ISIC_0000147x1,126059242
ISIC_0000147x2,1021029062
ISIC_0000139x4,1061038176
ISIC_0000148x1,981879246
ISIC_0000145x4,42472799
ISIC_0000147x3,847853000
ISIC_0000146x3,1012062384
ISIC_0000148x2,300653559
ISIC_0000149x1,1051044661
ISIC_0000149x2,863283562
ISIC_0000147x4,488171036
ISIC_0000150x1,1066383158
ISIC_0000149x3,473736724
ISIC_0000146x4,672958480
ISIC_0000149x4,373037503
ISIC_0000151x1,54327257
ISIC_0000150x2,1026315921
ISIC_0000151x2,740812035
ISIC_0000152x1,839862430
ISIC_0000148x3,706918570
ISIC_0000150x3,941627787
ISIC_0000151x3,344735092
ISIC_0000152x2,111750527
ISIC_0000150x4,1071538933
ISIC_0000151x4,24283186
ISIC_0000153x1,718354442
ISIC_0000154x1,569900759
ISIC_0000152x3,1026143745
ISIC_0000155x1,623188995
ISIC_0000154x2,83709197
ISIC_0000148x4,1031082110
ISIC_0000153x2,257938635
ISIC_0000152x4,20296223
ISIC_0000155x2,481145053
ISIC_0000156x1,138286219
ISIC_0000154x3,388680980
ISIC_0000156x2,234546999
ISIC_0000153x3,355574843
ISIC_0000155x3,410041783
ISIC_0000154x4,84299281
ISIC_0000156x3,151522310
ISIC_0000157x1,905645220
ISIC_0000157x2,256771383
ISIC_0000157x3,225017410
ISIC_0000156x4,73076425
ISIC_0000157x4,421161146
ISIC_0000155x4,696090912
